id,example,exampleTranslation,collocations
851,"The project scope includes testing and documentation.","项目范围包括测试和文档编写。","project scope=项目范围 | within scope=在范围内"
913,"The development team stores source code in a repository.","开发团队把源代码存储在代码仓库中。","code repository=代码仓库 | data repository=数据存储库"
914,"The company moved its data to the cloud.","公司把数据迁移到了云端。","cloud service=云服务 | cloud storage=云存储"
915,"The company invested heavily in digital infrastructure.","公司大力投资数字基础设施。","IT infrastructure=IT基础设施 | public infrastructure=公共基础设施"
916,"The database migration is scheduled for this weekend.","数据库迁移计划在本周末进行。","data migration=数据迁移 | system migration=系统迁移"
917,"The company decided to outsource its customer support.","公司决定把客户支持业务外包。","outsource services=外包服务 | outsource work=外包工作"
918,"We changed our internet service provider last month.","我们上个月更换了互联网服务提供商。","service provider=服务提供商 | cloud provider=云服务商"
919,"The contract explains the software licensing terms.","合同说明了软件许可条款。","software licensing=软件许可 | licensing agreement=许可协议"
920,"Each licensee must follow the terms of the agreement.","每个被许可方都必须遵守协议条款。","authorized licensee=授权被许可方 | software licensee=软件被许可方"
921,"The technician ran a diagnostic test on the machine.","技术人员对机器进行了诊断测试。","diagnostic test=诊断测试 | diagnostic tool=诊断工具"
922,"The update improves compatibility with older devices.","该更新提高了与旧设备的兼容性。","software compatibility=软件兼容性 | compatibility issue=兼容性问题"
923,"Customers requested additional functionality in the app.","顾客要求应用增加更多功能。","core functionality=核心功能 | system functionality=系统功能性"
924,"Please specify the delivery date in your order.","请在订单中明确注明送货日期。","specify requirements=明确要求 | specify a date=指定日期"
925,"The software can be customized for different departments.","该软件可以为不同部门定制。","customize software=定制软件 | customize a product=定制产品"
926,"The brand's positioning focuses on quality and reliability.","该品牌的市场定位强调质量和可靠性。","brand positioning=品牌定位 | market positioning=市场定位"
927,"The campaign targets a younger demographic.","该活动面向更年轻的人群。","target demographic=目标人群 | demographic data=人口统计数据"
928,"The team created a customer persona for the new service.","团队为新服务创建了客户画像。","customer persona=客户画像 | buyer persona=买家画像"
929,"The campaigner organized several public events.","活动组织者安排了几场公众活动。","political campaigner=政治活动者 | campaign organizer=活动组织者"
930,"The new advertising slogan is easy to remember.","新的广告口号很容易记住。","advertising slogan=广告口号 | brand slogan=品牌口号"
931,"The headline attracted a lot of online attention.","这个标题吸引了大量网络关注。","news headline=新闻标题 | headline figure=主要数字"
932,"The magazine has a monthly circulation of fifty thousand.","这本杂志每月发行量为5万份。","newspaper circulation=报纸发行量 | circulation figures=发行量数据"
933,"The publication has a large business readership.","该刊物拥有大量商务读者。","target readership=目标读者群 | magazine readership=杂志读者群"
934,"The interview will be broadcast live tomorrow.","采访将在明天直播。","live broadcast=现场直播 | broadcast a program=播放节目"
935,"A local bank sponsored the business conference.","一家当地银行赞助了商务会议。","event sponsor=活动赞助商 | sponsor an event=赞助活动"
936,"The event received corporate sponsorship.","该活动获得了企业赞助。","corporate sponsorship=企业赞助 | sponsorship deal=赞助协议"
937,"The campaign increased customer engagement online.","该活动提高了客户在线参与度。","customer engagement=客户参与度 | employee engagement=员工投入度"
938,"The website improved its sales conversion rate.","网站提高了销售转化率。","conversion rate=转化率 | currency conversion=货币兑换"
939,"Social media increased the brand's visibility.","社交媒体提高了品牌曝光度。","brand visibility=品牌曝光度 | increase visibility=提高可见度"
940,"The company has a strong reputation for quality.","公司以高质量享有良好声誉。","business reputation=企业声誉 | build a reputation=建立声誉"
941,"Customer perception changed after the redesign.","重新设计后客户看法发生了变化。","brand perception=品牌认知 | public perception=公众看法"
942,"The campaign raised awareness of the new service.","该活动提高了新服务的知名度。","brand awareness=品牌知名度 | raise awareness=提高意识"
943,"The salesperson persuaded the client to try the new product.","销售人员说服客户试用新产品。","persuade someone to do=说服某人做 | persuade a customer=说服客户"
944,"The report convinced management to approve the project.","这份报告让管理层同意批准项目。","convince someone to do=说服某人做 | fully convinced=完全信服"
945,"The store distributed promotional materials at the event.","商店在活动中发放促销材料。","promotional material=促销材料 | promotional campaign=促销活动"
946,"Guests receive a complimentary breakfast every morning.","客人每天早上享用免费早餐。","complimentary breakfast=免费早餐 | complimentary ticket=赠票"
947,"Members receive exclusive discounts on selected products.","会员在指定产品上享有专属折扣。","exclusive offer=专属优惠 | exclusive rights=独家权利"
948,"She is an influential figure in the technology industry.","她是科技行业很有影响力的人物。","influential person=有影响力的人 | highly influential=非常有影响力"
949,"The advertising video went viral on social media.","这支广告视频在社交媒体上爆红。","go viral=爆红 | viral campaign=病毒式传播活动"
950,"The website features customer testimonials.","网站展示了客户评价。","customer testimonial=客户评价 | written testimonial=书面推荐语"
