id,example,exampleTranslation,collocations
691,"The committee will evaluate all supplier proposals.","委员会将评估所有供应商提案。","evaluate performance=评估表现 | evaluate options=评估选项"
692,"The report includes a comparison of three products.","报告包含三种产品的比较。","price comparison=价格比较 | make a comparison=进行比较"
693,"The final selection will be announced next week.","最终选择结果将在下周公布。","selection process=选拔流程 | product selection=产品选择"
694,"The supplier resolved the delivery issue quickly.","供应商迅速解决了送货问题。","technical issue=技术问题 | issue a document=发布文件"
695,"You must obtain approval before making the purchase.","购买前必须获得批准。","obtain permission=获得许可 | obtain information=获取信息"
696,"The company acquired a smaller competitor last year.","公司去年收购了一家较小的竞争对手。","acquire a company=收购公司 | acquire skills=获得技能"
697,"We source most materials from local suppliers.","我们大多数材料从本地供应商采购。","source materials=采购材料 | reliable source=可靠来源"
698,"Travel insurance is included in the package.","套餐中包含旅行保险。","health insurance=健康保险 | insurance policy=保险单"
699,"The policy provides coverage for accidental damage.","该保险涵盖意外损坏。","insurance coverage=保险范围 | media coverage=媒体报道"
700,"The premium is paid once a year.","保险费每年支付一次。","insurance premium=保险费 | premium service=高级服务"
