id,example,exampleTranslation,collocations
227,"She manages a team of twelve employees.","她管理一个12人的团队。","manage a team=管理团队 | manage a project=管理项目"
228,"The new system helps control production costs.","新系统有助于控制生产成本。","quality control=质量控制 | control costs=控制成本"
229,"Please contact customer support for assistance.","如需帮助请联系客户支持。","customer support=客户支持 | technical support=技术支持"
230,"The company is working to improve customer service.","公司正在努力改善客户服务。","improve quality=提高质量 | improve efficiency=提高效率"
231,"Online sales increased by fifteen percent.","线上销售额增长了15%。","increase sales=提高销售额 | price increase=价格上涨"
232,"We need to reduce shipping costs.","我们需要降低运输成本。","reduce costs=降低成本 | reduce waste=减少浪费"
233,"The company plans to develop a new mobile app.","公司计划开发一款新的手机应用。","develop a product=开发产品 | develop a plan=制定计划"
234,"The design team created a new company logo.","设计团队制作了新的公司标志。","create a report=制作报告 | create opportunities=创造机会"
235,"The hotel provides free Wi-Fi to guests.","酒店为客人提供免费Wi-Fi。","provide information=提供信息 | provide a service=提供服务"
236,"We need more staff during the busy season.","旺季期间我们需要更多员工。","need assistance=需要帮助 | meet a need=满足需求"
237,"This position requires three years of experience.","这个职位要求三年工作经验。","require approval=需要批准 | require experience=要求经验"
238,"The survey results will be announced next week.","调查结果将在下周公布。","survey result=调查结果 | result in=导致"
239,"Our main goal is to improve customer satisfaction.","我们的主要目标是提高客户满意度。","achieve a goal=实现目标 | sales goal=销售目标"
240,"The success of the project depended on teamwork.","项目的成功取决于团队合作。","business success=商业成功 | achieve success=取得成功"
241,"The advertisement appeared in several business magazines.","这则广告刊登在几本商业杂志上。","online advertisement=网络广告 | place an advertisement=刊登广告"
242,"The company advertises its products on social media.","公司在社交媒体上宣传产品。","advertise a product=宣传产品 | advertise online=在线投放广告"
243,"The marketing campaign begins next month.","营销活动下个月开始。","advertising campaign=广告活动 | marketing campaign=营销活动"
244,"The store is running a promotion this weekend.","商店本周末正在做促销。","sales promotion=促销活动 | job promotion=职位晋升"
245,"Please pick up a brochure at the information desk.","请在信息台领取宣传册。","travel brochure=旅游宣传册 | product brochure=产品宣传册"
246,"The new catalog includes all current products.","新目录包含所有当前产品。","product catalog=产品目录 | online catalog=在线目录"
247,"Customers were asked to complete a short survey.","顾客被要求完成一份简短调查。","customer survey=客户调查 | conduct a survey=开展调查"
248,"The team conducted market research before launching the product.","团队在产品发布前进行了市场调查。","market research=市场调查 | conduct research=开展研究"
249,"Free samples are available at the front counter.","前台提供免费样品。","free sample=免费样品 | sample product=样品"
250,"The new package design is simple and modern.","新的包装设计简洁现代。","product design=产品设计 | design a logo=设计标志"
251,"The products are displayed near the entrance.","产品陈列在入口附近。","product display=产品陈列 | display information=显示信息"
252,"Please sign the contract at the bottom of the page.","请在合同页面底部签字。","sign a contract=签合同 | warning sign=警示标志"
253,"The company changed its logo last year.","公司去年更换了标志。","company logo=公司标志 | brand logo=品牌标志"
254,"The event received a lot of media attention.","这次活动受到了媒体的广泛关注。","social media=社交媒体 | media coverage=媒体报道"
255,"The library is open to the public every weekday.","图书馆每个工作日向公众开放。","general public=公众 | public transportation=公共交通"
256,"Let me introduce our new sales manager.","让我介绍一下我们的新销售经理。","introduce a product=推出产品 | introduce someone to=把某人介绍给…"
257,"The company will launch its new service in October.","公司将在十月推出新服务。","launch a product=发布产品 | product launch=产品发布"
258,"The new store hopes to attract younger customers.","新店希望吸引年轻顾客。","attract customers=吸引顾客 | attract attention=吸引注意"
259,"Customers can choose from four delivery options.","顾客可以从四种配送方式中选择。","choose an option=选择选项 | choose between=在…之间选择"
260,"I recommend booking the hotel early.","我建议尽早预订酒店。","recommend a product=推荐产品 | highly recommend=强烈推荐"
261,"The bank closes at three on Saturdays.","这家银行星期六三点关门。","bank account=银行账户 | bank loan=银行贷款"
262,"The company saved money by reducing energy use.","公司通过减少能源使用节省了资金。","save money=省钱 | make money=赚钱"
263,"The project was financed by a local bank.","这个项目由当地银行提供资金。","business finance=企业金融 | finance a project=为项目融资"
264,"She applied for a small business loan.","她申请了一笔小企业贷款。","bank loan=银行贷款 | repay a loan=偿还贷款"
265,"The loan has a fixed interest rate.","这笔贷款采用固定利率。","interest rate=利率 | pay interest=支付利息"
266,"The hotel offers a special rate for business travelers.","酒店为商务旅客提供优惠价格。","interest rate=利率 | exchange rate=汇率"
267,"His monthly income increased after the promotion.","晋升后他的月收入增加了。","annual income=年收入 | source of income=收入来源"
268,"Employees can claim travel expenses after the trip.","员工出差后可以报销差旅费。","travel expense=差旅费 | business expense=业务费用"
269,"The company reported a higher profit this quarter.","公司本季度报告了更高利润。","make a profit=盈利 | profit margin=利润率"
270,"The store suffered a loss during the renovation.","商店在装修期间出现了亏损。","financial loss=财务损失 | suffer a loss=遭受损失"
271,"Customers compare price and value before buying.","顾客购买前会比较价格和价值。","good value=物有所值 | market value=市场价值"
272,"The department spent less than its annual budget.","该部门的支出低于年度预算。","spend money=花钱 | spend time=花时间"
273,"The company plans to invest in new equipment.","公司计划投资新设备。","invest in=投资于 | invest money=投入资金"
274,"Small businesses often borrow money from banks.","小企业经常向银行借钱。","borrow money=借钱 | borrow from a bank=向银行借款"
275,"The bank agreed to lend the company more money.","银行同意向公司提供更多贷款。","lend money=借出资金 | lend to a company=借给公司"
276,"You can exchange foreign currency at the airport.","你可以在机场兑换外币。","foreign currency=外币 | local currency=当地货币"
277,"Please check the current exchange rate.","请查看当前汇率。","exchange rate=汇率 | currency exchange=货币兑换"
278,"The financial report will be reviewed tomorrow.","财务报告将在明天审查。","financial report=财务报告 | financial year=财政年度"
279,"The hotel is cheap but very clean.","这家酒店便宜但很干净。","cheap price=低价 | relatively cheap=相对便宜"
280,"The cafeteria serves healthy food every day.","食堂每天供应健康食品。","fresh food=新鲜食品 | food service=餐饮服务"
281,"The price includes three meals a day.","价格包含每日三餐。","business meal=商务餐 | evening meal=晚餐"
282,"The lunch menu changes every week.","午餐菜单每周更换。","set menu=套餐 | menu item=菜单项目"
283,"We discussed the project over lunch.","我们在午餐时讨论了项目。","lunch break=午休 | have lunch=吃午餐"
284,"The conference dinner starts at seven.","会议晚宴七点开始。","business dinner=商务晚餐 | have dinner=吃晚餐"
285,"Breakfast is served from six to ten.","早餐供应时间为六点到十点。","have breakfast=吃早餐 | breakfast buffet=早餐自助餐"
286,"Would you like something to drink?","你想喝点什么吗？","soft drink=软饮料 | drink water=喝水"
287,"The meeting room has free coffee and tea.","会议室提供免费咖啡和茶。","coffee break=咖啡休息 | coffee shop=咖啡店"
288,"Please drink plenty of water during the trip.","旅途中请多喝水。","drinking water=饮用水 | water supply=供水"
289,"A table has been reserved for six people.","已经预订了一张六人桌。","reserve a table=订桌 | table of contents=目录"
290,"The restaurant serves lunch until two.","餐厅供应午餐到两点。","serve customers=服务顾客 | serve food=供应食物"
291,"The waiter brought us the bill.","服务员把账单拿给了我们。","restaurant waiter=餐厅服务员 | ask the waiter=询问服务员"
292,"The kitchen closes thirty minutes before the restaurant.","厨房比餐厅早30分钟停止营业。","hotel kitchen=酒店厨房 | kitchen equipment=厨房设备"
293,"The restaurant buys fresh vegetables every morning.","餐厅每天早上采购新鲜蔬菜。","fresh food=新鲜食物 | fresh produce=新鲜农产品"
294,"The guests said the dinner was delicious.","客人们说晚餐很美味。","delicious meal=美味的一餐 | taste delicious=味道很好"
295,"Today's lunch special is grilled chicken.","今天的午餐特价菜是烤鸡。","special offer=特别优惠 | today's special=今日特餐"
296,"We reserved a private room for the business dinner.","我们为商务晚餐预订了一个包间。","reserve a room=预订房间 | reserve a table=订桌"
297,"The store sells business clothes on the second floor.","商店二楼销售商务服装。","business clothes=商务服装 | casual clothes=休闲服"
298,"This shirt is available in blue and white.","这件衬衫有蓝色和白色。","dress shirt=正装衬衫 | shirt size=衬衫尺码"
299,"These shoes are suitable for long business trips.","这双鞋适合长时间商务出差。","dress shoes=正装鞋 | shoe size=鞋码"
300,"Please choose a color before placing your order.","下单前请选择颜色。","color choice=颜色选择 | in color=彩色的"
