id,example,exampleTranslation,collocations
60,"The customer canceled the reservation yesterday.","客户昨天取消了预订。","cancel an order=取消订单 | cancel a reservation=取消预订"
61,"More than 200 people attended the event.","超过200人参加了这次活动。","special event=特别活动 | attend an event=参加活动"
62,"The annual conference will be held in Tokyo.","年度大会将在东京举行。","annual conference=年度会议 | conference room=会议室"
63,"I have a dentist appointment at three.","我三点有牙医预约。","make an appointment=预约 | appointment time=预约时间"
64,"She has a job interview on Monday.","她星期一有一场求职面试。","job interview=求职面试 | conduct an interview=进行面试"
65,"Mr. Chen gave a presentation on the new product.","陈先生做了关于新产品的演示。","give a presentation=做演示 | presentation slides=演示文稿"
66,"All new employees must complete safety training.","所有新员工都必须完成安全培训。","staff training=员工培训 | training program=培训计划"
67,"The seminar focuses on customer service.","研讨会重点讨论客户服务。","attend a seminar=参加研讨会 | training seminar=培训研讨会"
68,"The company will hold a workshop for new managers.","公司将为新任经理举办工作坊。","training workshop=培训工作坊 | attend a workshop=参加工作坊"
69,"More than fifty employees attended the meeting.","五十多名员工参加了会议。","attend a meeting=参加会议 | attend a conference=参加大会"
70,"Would you like to join us for lunch?","你愿意和我们一起吃午饭吗？","join a team=加入团队 | join a meeting=参加会议"
71,"We invited several clients to the opening event.","我们邀请了几位客户参加开幕活动。","invite a guest=邀请客人 | invite someone to an event=邀请某人参加活动"
72,"Each guest received a name badge.","每位来宾都拿到了姓名牌。","guest speaker=嘉宾讲者 | hotel guest=酒店客人"
73,"All visitors must sign in at the front desk.","所有访客都必须在前台登记。","business visitor=商务访客 | visitor badge=访客证"
74,"The meeting room is on the third floor.","会议室在三楼。","meeting room=会议室 | hotel room=酒店房间"
75,"Please take a seat near the front.","请在前排就座。","take a seat=就座 | window seat=靠窗座位"
76,"The first item on the agenda is the sales report.","议程第一项是销售报告。","meeting agenda=会议议程 | agenda item=议程项目"
77,"Today's main topic is customer satisfaction.","今天的主要议题是客户满意度。","main topic=主要议题 | discussion topic=讨论主题"
78,"The meeting will begin in ten minutes.","会议将在十分钟后开始。","meeting minutes=会议记录 | a few minutes=几分钟"
79,"Let's take a short break before the next session.","下一场开始前我们短暂休息一下。","take a break=休息一下 | lunch break=午休"
80,"The report begins with a brief summary.","报告以简要总结开始。","brief summary=简要总结 | executive summary=执行摘要"
81,"The customer asked for a refund.","顾客要求退款。","customer service=客户服务 | customer feedback=客户反馈"
82,"We met the client to discuss the new contract.","我们与客户见面讨论新合同。","meet a client=会见客户 | client request=客户要求"
83,"The store is having a summer sale this week.","这家商店本周进行夏季促销。","on sale=促销中 | sales price=促销价格"
84,"The company sells office equipment online.","公司在网上销售办公设备。","sell a product=销售产品 | sell online=网上销售"
85,"We plan to buy new computers for the office.","我们计划为办公室购买新电脑。","buy in bulk=批量购买 | buy online=网上购买"
86,"Your order will be shipped tomorrow.","您的订单明天发货。","place an order=下订单 | order number=订单编号"
87,"This product comes with a one-year warranty.","这个产品附带一年保修。","new product=新产品 | product quality=产品质量"
88,"Our service is available twenty-four hours a day.","我们的服务全天24小时提供。","customer service=客户服务 | service charge=服务费"
89,"The price includes delivery and installation.","价格包含送货和安装。","list price=标价 | reasonable price=合理价格"
90,"The repair will cost about one hundred dollars.","维修大约需要花费一百美元。","reduce costs=降低成本 | total cost=总成本"
91,"Members receive a ten percent discount.","会员可享受九折优惠。","special discount=特别折扣 | discount rate=折扣率"
92,"The hotel is offering free breakfast this month.","这家酒店本月提供免费早餐。","special offer=特别优惠 | offer a discount=提供折扣"
93,"We signed a deal with a new supplier.","我们与一家新供应商签署了协议。","business deal=商业交易 | deal with a problem=处理问题"
94,"The company entered the Japanese market last year.","公司去年进入了日本市场。","target market=目标市场 | market research=市场调查"
95,"I stopped at the shop to buy a notebook.","我去商店买了一个笔记本。","online shop=网店 | shop for clothes=购买衣服"
96,"The store closes at nine every evening.","这家商店每天晚上九点关门。","department store=百货商店 | store manager=店长"
97,"The brand is well known for its quality.","这个品牌以高质量而闻名。","brand name=品牌名称 | brand image=品牌形象"
98,"Customers expect high quality at a reasonable price.","顾客希望以合理价格获得高质量产品。","high quality=高质量 | quality control=质量管理"
99,"This model is especially popular with business travelers.","这款型号特别受商务旅客欢迎。","popular choice=热门选择 | popular with customers=受顾客欢迎"
100,"The item is currently available in three colors.","该商品目前有三种颜色可选。","available online=网上可购买 | available for purchase=可供购买"
