id,example,exampleTranslation,collocations
122,"We can deliver the order within three business days.","我们可以在三个工作日内送达订单。","deliver a package=递送包裹 | deliver on time=按时交付"
123,"The company ships products throughout Asia.","公司向亚洲各地运送产品。","ship an order=发货 | cargo ship=货船"
124,"The shipment arrived at the warehouse yesterday.","货物昨天到达仓库。","international shipment=国际货运 | shipment date=发货日期"
125,"Your package should arrive by noon tomorrow.","你的包裹应该在明天中午前送达。","send a package=寄包裹 | package delivery=包裹配送"
126,"Please place the small items in this box.","请把小件物品放进这个箱子。","cardboard box=纸箱 | box office=售票处"
127,"I will send the updated schedule this afternoon.","我今天下午会发送更新后的日程。","send an email=发送邮件 | send a package=寄包裹"
128,"We received your application yesterday.","我们昨天收到了你的申请。","receive an order=收到订单 | receive a payment=收到付款"
129,"Please write your mailing address clearly.","请清楚填写你的邮寄地址。","email address=电子邮箱地址 | mailing address=邮寄地址"
130,"You may return the product within thirty days.","你可以在30天内退回产品。","return an item=退货 | return to work=返回工作岗位"
131,"The train is expected to arrive at six.","火车预计六点到达。","arrive on time=准时到达 | arrive at the airport=到达机场"
132,"Please leave the key at the front desk.","请把钥匙留在前台。","leave a message=留言 | leave work=下班"
133,"Customers can track their orders online.","顾客可以在线追踪订单。","track an order=追踪订单 | keep track of=掌握…的情况"
134,"The products are stored in a nearby warehouse.","这些产品存放在附近的仓库。","warehouse staff=仓库员工 | warehouse space=仓储空间"
135,"This item is currently out of stock.","这件商品目前缺货。","in stock=有现货 | out of stock=缺货"
136,"The factory can supply up to five hundred units a day.","工厂每天最多可供应500件。","supply goods=供应商品 | water supply=供水"
137,"Each item has a product code on the label.","每件商品的标签上都有产品代码。","item number=商品编号 | agenda item=议程项目"
138,"The shipping fee depends on the package weight.","运费取决于包裹重量。","net weight=净重 | weight limit=重量限制"
139,"This shirt is available in several sizes.","这件衬衫有多种尺码。","small size=小号 | size chart=尺码表"
140,"Please attach the return label to the box.","请把退货标签贴在箱子上。","shipping label=运输标签 | price label=价格标签"
141,"Employees often travel to meet overseas clients.","员工经常出差会见海外客户。","business travel=商务出差 | travel expenses=差旅费"
142,"Her business trip to Osaka lasts three days.","她去大阪的商务出差持续三天。","business trip=商务出差 | round trip=往返"
143,"You can buy a train ticket at the station.","你可以在车站购买火车票。","train ticket=火车票 | ticket price=票价"
144,"The train leaves from platform four.","火车从4号站台出发。","train station=火车站 | express train=特快列车"
145,"The airport bus runs every thirty minutes.","机场巴士每30分钟一班。","bus stop=公交车站 | airport bus=机场巴士"
146,"Our flight to Seoul was delayed by one hour.","我们飞往首尔的航班延误了一小时。","book a flight=预订航班 | flight schedule=航班时刻表"
147,"The hotel provides a shuttle to the airport.","酒店提供前往机场的班车。","international airport=国际机场 | airport shuttle=机场接驳车"
148,"The nearest station is a five-minute walk away.","最近的车站步行五分钟即可到达。","train station=火车站 | subway station=地铁站"
149,"We stayed at a hotel near the conference center.","我们住在会议中心附近的一家酒店。","hotel room=酒店房间 | hotel reservation=酒店预订"
150,"Please confirm your reservation before arrival.","请在到达前确认你的预订。","make a reservation=预订 | hotel reservation=酒店预订"
151,"I booked a room for two nights.","我预订了一个房间住两晚。","book a room=预订房间 | book a flight=预订航班"
152,"Passengers should keep their luggage with them.","乘客应随身保管行李。","carry-on luggage=随身行李 | luggage claim=行李领取处"
153,"All passengers must show their tickets before boarding.","所有乘客登车前都必须出示车票。","airline passenger=航空乘客 | passenger seat=乘客座位"
154,"The driver will meet you outside the hotel.","司机会在酒店外接你。","taxi driver=出租车司机 | delivery driver=送货司机"
155,"We rented a car for the business trip.","我们为商务出差租了一辆车。","rental car=租赁汽车 | company car=公司用车"
156,"The road to the airport is very busy in the morning.","早上去机场的道路非常拥堵。","main road=主干道 | road construction=道路施工"
157,"The map shows the location of the new office.","地图显示了新办公室的位置。","city map=城市地图 | map out a plan=制定计划"
158,"The company prefers to work with local suppliers.","公司更愿意与当地供应商合作。","local business=本地企业 | local office=当地办事处"
159,"Several clients will visit our factory next week.","几位客户下周将参观我们的工厂。","visit a client=拜访客户 | site visit=现场访问"
160,"The hotel offers a guided city tour.","酒店提供城市导览服务。","guided tour=导览参观 | factory tour=工厂参观"
161,"The new office building has twelve floors.","新办公楼有12层。","office building=办公楼 | building entrance=建筑入口"
162,"The conference room is on the fifth floor.","会议室在五楼。","ground floor=一楼 | office floor=办公楼层"
163,"The main entrance is beside the parking area.","正门在停车区旁边。","main entrance=正门 | entrance fee=入场费"
164,"Please use the emergency exit at the rear of the building.","请使用建筑后方的紧急出口。","emergency exit=紧急出口 | exit sign=出口标志"
165,"Please keep the office door closed.","请保持办公室门关闭。","front door=前门 | office door=办公室门"
166,"The window in the meeting room is open.","会议室的窗户开着。","display window=橱窗 | window seat=靠窗座位"
167,"Take the elevator to the eighth floor.","乘电梯到八楼。","take the elevator=乘电梯 | elevator lobby=电梯厅"
168,"The stairs are next to the elevator.","楼梯在电梯旁边。","take the stairs=走楼梯 | flight of stairs=一段楼梯"
169,"Free parking is available behind the building.","大楼后面有免费停车位。","parking area=停车区 | parking fee=停车费"
170,"The restroom is across from the reception desk.","洗手间在接待台对面。","public restroom=公共洗手间 | restroom facilities=洗手间设施"
171,"We had lunch at a restaurant near the office.","我们在办公室附近的一家餐厅吃了午饭。","hotel restaurant=酒店餐厅 | restaurant reservation=餐厅预订"
172,"Employees can buy lunch in the company cafeteria.","员工可以在公司食堂购买午餐。","company cafeteria=公司食堂 | cafeteria menu=食堂菜单"
173,"Please pay at the counter before leaving.","离开前请在柜台付款。","service counter=服务柜台 | checkout counter=结账柜台"
174,"Please ask at reception for a visitor badge.","请在接待处领取访客证。","reception desk=接待台 | wedding reception=婚宴"
175,"The ceremony will be held in the main hall.","典礼将在主礼堂举行。","conference hall=会议厅 | entrance hall=大厅"
176,"This area is reserved for employees only.","该区域仅限员工使用。","parking area=停车区 | sales area=销售区域"
177,"The new store is in a convenient downtown location.","新店位于市中心一个交通便利的地点。","store location=店铺位置 | convenient location=便利地点"
178,"Our office is near the train station.","我们的办公室在火车站附近。","near the station=靠近车站 | near completion=接近完成"
179,"The store will open at ten tomorrow morning.","商店明天上午十点开门。","open a store=开店 | open to the public=向公众开放"
180,"Please close the door when you leave.","离开时请把门关上。","close a store=关闭商店 | close to the station=靠近车站"
181,"The new computer is much faster than the old one.","新电脑比旧电脑快得多。","desktop computer=台式电脑 | computer system=计算机系统"
182,"The presentation is displayed on the large screen.","演示内容显示在大屏幕上。","computer screen=电脑屏幕 | touch screen=触摸屏"
183,"This keyboard is designed for office use.","这个键盘是为办公使用设计的。","computer keyboard=电脑键盘 | wireless keyboard=无线键盘"
184,"The machine automatically stops when the door opens.","门打开时机器会自动停止。","copy machine=复印机 | vending machine=自动售货机"
185,"The company purchased new safety equipment.","公司购买了新的安全设备。","office equipment=办公设备 | safety equipment=安全设备"
186,"The device can connect to the network wirelessly.","该设备可以无线连接网络。","mobile device=移动设备 | electronic device=电子设备"
187,"The new system will be installed next month.","新系统将在下个月安装。","computer system=计算机系统 | security system=安保系统"
188,"Please update the software before restarting the computer.","重启电脑前请更新软件。","software update=软件更新 | accounting software=会计软件"
189,"More information is available on our website.","更多信息可以在我们的网站上查看。","company website=公司网站 | official website=官方网站"
190,"Customers can place orders online at any time.","顾客可以随时在线下单。","shop online=网上购物 | online payment=在线支付"
191,"You should change your password regularly.","你应该定期更改密码。","enter a password=输入密码 | password protection=密码保护"
192,"The report is based on sales data from last year.","这份报告基于去年的销售数据。","sales data=销售数据 | data analysis=数据分析"
193,"Remember to save your work before closing the file.","关闭文件前记得保存你的工作。","save a file=保存文件 | save time=节省时间"
194,"You can download the form from our website.","你可以从我们的网站下载表格。","download a file=下载文件 | free download=免费下载"
195,"The company will update its website this weekend.","公司将在本周末更新网站。","software update=软件更新 | update information=更新信息"
196,"A technician will install the new equipment tomorrow.","技术人员明天会安装新设备。","install software=安装软件 | install equipment=安装设备"
197,"The printer needs repair before it can be used again.","打印机需要维修后才能再次使用。","repair equipment=维修设备 | repair service=维修服务"
198,"Only trained staff may operate this machine.","只有经过培训的员工可以操作这台机器。","operate a machine=操作机器 | operate a business=经营企业"
199,"This room is for staff use only.","这个房间仅供员工使用。","for office use=供办公使用 | make use of=利用"
200,"Please contact technical support if the problem continues.","如果问题仍然存在请联系技术支持。","solve a problem=解决问题 | technical problem=技术问题"
