id,example,exampleTranslation,collocations
721,"The contract confirms ownership of the equipment.","合同确认了设备的所有权。","property ownership=财产所有权 | transfer ownership=转移所有权"
722,"The software license is valid for one year.","软件许可证有效期为一年。","software license=软件许可证 | license agreement=许可协议"
723,"The meeting date is tentative and may change.","会议日期暂定，可能会变更。","tentative schedule=暂定日程 | tentative agreement=初步协议"
724,"Finishing the prototype is an important project milestone.","完成原型是一个重要的项目里程碑。","project milestone=项目里程碑 | reach a milestone=达到里程碑"
725,"We use last year's results as a benchmark.","我们把去年的结果作为基准。","industry benchmark=行业基准 | performance benchmark=绩效基准"
726,"Budget constraints delayed the project.","预算限制导致项目延期。","budget constraint=预算限制 | time constraint=时间限制"
727,"The team prepared a contingency plan for delays.","团队为延误准备了应急方案。","contingency plan=应急方案 | contingency fund=应急资金"
728,"The manager confirmed that the plan was feasible.","经理确认这个计划可行。","financially feasible=财务上可行 | feasible solution=可行方案"
729,"The company will implement the new policy in September.","公司将在九月实施新政策。","implement a plan=实施计划 | implement a policy=实施政策"
730,"The implementation of the new system took three months.","新系统的实施用了三个月。","system implementation=系统实施 | implementation plan=实施计划"
731,"The manager delegated several tasks to the team.","经理把几项任务委派给团队。","delegate a task=委派任务 | delegate responsibility=委派责任"
732,"A senior engineer will supervise the installation.","一名高级工程师将监督安装。","supervise staff=监督员工 | supervise a project=监督项目"
733,"The accounting team reconciles the accounts every month.","会计团队每月核对账目。","reconcile accounts=核对账目 | reconcile differences=协调差异"
734,"Payroll is processed at the end of each month.","工资在每月底处理。","payroll system=工资系统 | payroll department=薪资部门"
735,"The report explains changes in corporate taxation.","报告解释了公司税收方面的变化。","corporate taxation=公司税收 | taxation policy=税收政策"
736,"The company begins its new fiscal year in April.","公司四月开始新的财年。","fiscal year=财政年度 | fiscal policy=财政政策"
737,"Travel expenditure increased last quarter.","上季度差旅支出增加了。","capital expenditure=资本支出 | annual expenditure=年度支出"
738,"The department reduced its budget deficit.","该部门减少了预算赤字。","budget deficit=预算赤字 | trade deficit=贸易逆差"
739,"The company used the surplus to buy new equipment.","公司用盈余购买了新设备。","budget surplus=预算盈余 | surplus stock=剩余库存"
740,"The customer chose to pay in monthly installments.","顾客选择按月分期付款。","monthly installment=月度分期款 | pay in installments=分期付款"
741,"The company invested heavily in branding last year.","公司去年大力投入品牌建设。","brand strategy=品牌战略 | corporate branding=企业品牌建设"
742,"The product gained attention after a celebrity endorsement.","产品在名人代言后受到关注。","product endorsement=产品代言 | official endorsement=官方认可"
743,"The event generated a lot of publicity.","这次活动获得了大量宣传曝光。","gain publicity=获得宣传 | publicity campaign=宣传活动"
744,"Your annual subscription will renew automatically.","你的年度订阅会自动续订。","annual subscription=年度订阅 | subscription fee=订阅费"
745,"The consignment arrived at the warehouse this morning.","托运货物今天早上到达仓库。","shipping consignment=托运货物 | consignment note=托运单"
746,"The purchasing team will procure the required materials.","采购团队将采购所需材料。","procure materials=采购材料 | procure equipment=采购设备"
747,"Please submit a purchase requisition before ordering.","下单前请提交采购申请。","purchase requisition=采购申请 | requisition form=申购表"
748,"Fast order fulfillment improves customer satisfaction.","快速履行订单可以提高客户满意度。","order fulfillment=订单履行 | fulfillment center=履约中心"
749,"Regular maintenance can reduce equipment downtime.","定期维护可以减少设备停机时间。","system downtime=系统停机时间 | reduce downtime=减少停机"
750,"The technician will troubleshoot the network problem.","技术人员将排查网络问题。","troubleshoot a problem=排查问题 | troubleshoot equipment=排查设备故障"
