id,example,exampleTranslation,collocations
532,"The new facility will open in October.","新设施将在十月启用。","production facility=生产设施 | training facility=培训设施"
533,"Transportation costs increased because of fuel prices.","由于燃料价格上涨运输成本增加了。","public transportation=公共交通 | transportation cost=运输成本"
534,"The freight company will collect the goods tomorrow.","货运公司明天会取货。","air freight=空运 | freight charge=货运费"
535,"The cargo was loaded onto the ship this morning.","货物今天早上装上了船。","air cargo=空运货物 | cargo ship=货船"
536,"The carrier confirmed the delivery date.","承运公司确认了送货日期。","shipping carrier=运输承运商 | air carrier=航空承运人"
537,"The driver chose a faster delivery route.","司机选择了一条更快的配送路线。","delivery route=配送路线 | bus route=公交线路"
538,"The package reached its destination on time.","包裹准时到达目的地。","final destination=最终目的地 | travel destination=旅行目的地"
539,"The warehouse will dispatch the order this afternoon.","仓库今天下午会发出订单。","dispatch goods=发货 | dispatch center=调度中心"
540,"Workers loaded the boxes onto the truck.","工作人员把箱子装上卡车。","load a truck=装载卡车 | heavy load=重负载"
541,"The driver helped unload the shipment.","司机帮忙卸下货物。","unload cargo=卸货 | unload a truck=卸卡车"
542,"Please pack the items carefully before shipping.","发货前请仔细打包物品。","pack a box=打包箱子 | pack luggage=整理行李"
543,"The goods were shipped in a sealed container.","货物装在密封集装箱中运输。","shipping container=集装箱 | storage container=储物容器"
544,"The shipment is currently being inspected by customs.","这批货目前正在接受海关检查。","clear customs=通关 | customs declaration=海关申报"
545,"The company imports parts from Germany.","公司从德国进口零件。","import goods=进口商品 | import duty=进口关税"
546,"The factory exports products to more than twenty countries.","工厂向20多个国家出口产品。","export goods=出口商品 | export market=出口市场"
547,"The hotel provides accommodation for conference guests.","酒店为会议嘉宾提供住宿。","hotel accommodation=酒店住宿 | arrange accommodation=安排住宿"
548,"Please check the itinerary before your business trip.","商务出差前请检查行程。","travel itinerary=旅行行程 | detailed itinerary=详细行程"
549,"The departure time has been moved to seven.","出发时间改到了七点。","departure time=出发时间 | departure gate=登机口"
550,"Please call us after your arrival at the hotel.","到酒店后请给我们打电话。","arrival time=到达时间 | upon arrival=到达后"
551,"Boarding begins thirty minutes before departure.","登机在起飞前30分钟开始。","boarding pass=登机牌 | boarding gate=登机口"
552,"The airline moved to a different terminal.","航空公司搬到了另一个航站楼。","airport terminal=机场航站楼 | bus terminal=巴士总站"
553,"The train to Kyoto leaves from platform six.","去京都的火车从6号站台出发。","train platform=火车站台 | online platform=在线平台"
554,"The bus fare can be paid in cash.","公交票价可以用现金支付。","bus fare=公交票价 | air fare=机票价格"
555,"She commutes to the office by train.","她坐火车通勤上班。","daily commute=日常通勤 | commute to work=通勤上班"
556,"The company replaced several delivery vehicles.","公司更换了几辆配送车辆。","company vehicle=公司车辆 | delivery vehicle=配送车辆"
557,"The rental fee includes basic insurance.","租赁费用包含基础保险。","car rental=租车 | rental fee=租赁费用"
558,"Online check-in opens twenty-four hours before the flight.","网上值机在航班起飞前24小时开放。","hotel check-in=酒店入住 | online check-in=网上办理手续"
559,"Hotel checkout is at eleven in the morning.","酒店退房时间是上午11点。","late checkout=延迟退房 | checkout time=退房时间"
560,"The client reserved a business suite for three nights.","客户预订了商务套房住三晚。","hotel suite=酒店套房 | executive suite=行政套房"
561,"The hotel has no vacancies this weekend.","酒店本周末没有空房。","job vacancy=职位空缺 | room vacancy=空房"
562,"Hotel occupancy is highest during the holiday season.","假日季酒店入住率最高。","occupancy rate=入住率 | hotel occupancy=酒店入住率"
563,"Housekeeping cleans the rooms every morning.","客房清洁人员每天早上打扫房间。","housekeeping staff=客房清洁人员 | housekeeping service=客房服务"
564,"The concierge can arrange airport transportation.","礼宾员可以安排机场交通。","hotel concierge=酒店礼宾员 | ask the concierge=询问礼宾员"
565,"The city attracts many international tourists.","这座城市吸引许多国际游客。","foreign tourist=外国游客 | tourist attraction=旅游景点"
566,"We spent the afternoon sightseeing in Kyoto.","我们下午在京都观光。","go sightseeing=去观光 | sightseeing tour=观光旅游"
567,"A cancellation fee applies after Friday.","星期五之后取消需要支付费用。","cancellation fee=取消费用 | cancellation policy=取消政策"
568,"She will work abroad for six months.","她将在国外工作六个月。","travel abroad=出国旅行 | work abroad=在国外工作"
569,"The company plans to renovate the main office.","公司计划翻新总部。","renovate a building=翻新建筑 | renovate an office=翻新办公室"
570,"The restaurant is closed for renovation.","餐厅因装修暂停营业。","office renovation=办公室装修 | renovation work=装修工程"
571,"Construction of the new factory begins next month.","新工厂的建设下个月开始。","construction project=建设项目 | construction site=施工现场"
572,"The contractor submitted a revised cost estimate.","承包商提交了修改后的成本估算。","building contractor=建筑承包商 | general contractor=总承包商"
573,"The building uses less electricity after the upgrade.","升级后这栋建筑用电更少。","electricity bill=电费账单 | electricity supply=电力供应"
574,"The heating system will be inspected before winter.","供暖系统将在冬季前检查。","heating system=供暖系统 | central heating=中央供暖"
575,"New lighting was installed in the parking area.","停车区安装了新的照明。","office lighting=办公室照明 | lighting system=照明系统"
576,"Good ventilation is important in the factory.","工厂里良好的通风很重要。","ventilation system=通风系统 | proper ventilation=适当通风"
577,"Security staff check visitor badges at the entrance.","安保人员在入口检查访客证。","security system=安保系统 | security guard=保安"
578,"Only authorized staff have access to this room.","只有获授权员工可以进入这个房间。","have access to=可以访问 | internet access=互联网接入"
579,"Please use the main entry after six.","六点以后请使用正门入口。","entry form=报名表 | entry point=入口"
580,"The building passed its annual safety inspection.","这栋建筑通过了年度安全检查。","safety inspection=安全检查 | inspection report=检查报告"
581,"A machine malfunction stopped production for two hours.","机器故障导致生产停止两小时。","equipment malfunction=设备故障 | system malfunction=系统故障"
582,"The power outage affected the entire building.","停电影响了整栋建筑。","power outage=停电 | network outage=网络中断"
583,"Technicians restored the system by noon.","技术人员在中午前恢复了系统。","restore service=恢复服务 | restore data=恢复数据"
584,"The office cleaning is done every evening.","办公室每天晚上进行清洁。","cleaning service=清洁服务 | cleaning staff=清洁人员"
585,"Please dispose of used batteries properly.","请正确处理废旧电池。","dispose of waste=处理废弃物 | dispose of equipment=处置设备"
586,"The company is trying to reduce office waste.","公司正在努力减少办公室废弃物。","reduce waste=减少浪费 | industrial waste=工业废物"
587,"Employees are encouraged to recycle paper and plastic.","公司鼓励员工回收纸张和塑料。","recycle paper=回收纸张 | recycling program=回收计划"
588,"The company aims to reduce its environmental impact.","公司旨在减少对环境的影响。","work environment=工作环境 | natural environment=自然环境"
589,"The new system reduces energy use by twenty percent.","新系统将能源使用减少了20%。","save energy=节约能源 | energy cost=能源成本"
590,"The storage room must be kept at a low temperature.","储藏室必须保持低温。","room temperature=室温 | high temperature=高温"
591,"The new tenant will occupy the office next month.","新租户下个月将使用该办公室。","occupy a room=占用房间 | fully occupied=全部占用"
592,"The office network was upgraded last weekend.","办公室网络上周末升级了。","computer network=计算机网络 | distribution network=分销网络"
593,"Customer information is stored in a secure database.","客户信息存储在安全数据库中。","customer database=客户数据库 | database system=数据库系统"
594,"The server is temporarily unavailable for maintenance.","服务器因维护暂时不可用。","web server=网络服务器 | server maintenance=服务器维护"
595,"The company replaced outdated computer hardware.","公司更换了过时的电脑硬件。","computer hardware=电脑硬件 | hardware failure=硬件故障"
596,"The program automatically saves your work.","该程序会自动保存你的工作。","training program=培训计划 | computer program=计算机程序"
597,"The company has switched to a digital payment system.","公司已经切换到数字支付系统。","digital technology=数字技术 | digital file=数字文件"
598,"Please keep an electronic copy of the receipt.","请保留收据的电子副本。","electronic device=电子设备 | electronic payment=电子支付"
599,"The meeting room has a wireless internet connection.","会议室有无线互联网连接。","wireless network=无线网络 | wireless device=无线设备"
600,"The internet connection is slow this morning.","今天早上网络连接很慢。","internet connection=互联网连接 | establish a connection=建立连接"
