id,example,exampleTranslation,collocations
751,"The board will meet in the boardroom at nine.","董事会将在九点于董事会议室开会。","boardroom meeting=董事会议 | executive boardroom=高管会议室"
789,"The borrower repays both principal and interest.","借款人偿还本金和利息。","loan principal=贷款本金 | principal amount=本金金额"
790,"The bond reaches maturity in five years.","该债券五年后到期。","maturity date=到期日 | reach maturity=到期"
791,"The investment offers a higher annual yield.","这项投资提供更高的年收益率。","annual yield=年收益率 | bond yield=债券收益率"
792,"Higher inflation has increased operating costs.","更高的通货膨胀推高了运营成本。","inflation rate=通胀率 | rising inflation=通胀上升"
793,"Currency fluctuation affected the company's overseas revenue.","汇率波动影响了公司的海外收入。","price fluctuation=价格波动 | currency fluctuation=汇率波动"
794,"An independent firm completed the company valuation.","一家独立机构完成了公司估值。","company valuation=公司估值 | market valuation=市场估值"
795,"The new strategy improved the profitability of the business.","新战略提高了业务盈利能力。","improve profitability=提高盈利能力 | long-term profitability=长期盈利能力"
796,"Employee turnover declined after salaries were increased.","提高薪资后员工流动率下降了。","employee turnover=员工流动率 | annual turnover=年营业额"
797,"The company recorded a write-off for the damaged inventory.","公司对损坏库存进行了核销。","tax write-off=税务核销 | asset write-off=资产核销"
798,"The supplier confirmed receipt of the remittance.","供应商确认收到了汇款。","bank remittance=银行汇款 | remittance advice=汇款通知"
799,"The deposit will remain in escrow until the transaction closes.","交易完成前押金将由第三方托管。","escrow account=托管账户 | hold in escrow=由第三方托管"
800,"The company diversified its investments to reduce risk.","公司使投资多元化以降低风险。","diversify investments=分散投资 | diversify a business=业务多元化"
801,"Consumer spending is important to the national economy.","消费者支出对国民经济很重要。","national economy=国民经济 | global economy=全球经济"
802,"The report predicts stronger economic growth next year.","报告预测明年经济增长会更强。","economic growth=经济增长 | economic conditions=经济状况"
803,"Many companies reduced spending during the recession.","许多公司在经济衰退期间减少了支出。","economic recession=经济衰退 | during a recession=在衰退期间"
804,"The tourism industry showed signs of recovery.","旅游业出现了复苏迹象。","economic recovery=经济复苏 | data recovery=数据恢复"
805,"The company expects steady growth in online sales.","公司预计线上销售将稳定增长。","economic growth=经济增长 | sales growth=销售增长"
806,"The industry experienced several years of stagnation.","该行业经历了数年的停滞。","economic stagnation=经济停滞 | market stagnation=市场停滞"
807,"Market volatility increased after the announcement.","公告发布后市场波动性上升。","market volatility=市场波动性 | price volatility=价格波动性"
808,"Oil is one of the world's most traded commodities.","石油是全球交易最活跃的大宗商品之一。","commodity price=大宗商品价格 | commodity market=商品市场"
809,"The stock index rose two percent today.","股票指数今天上涨了2%。","stock index=股票指数 | price index=价格指数"
810,"Consumer confidence is an important economic indicator.","消费者信心是重要的经济指标。","economic indicator=经济指标 | performance indicator=绩效指标"
811,"Energy consumption fell after the new system was installed.","新系统安装后能源消耗下降了。","energy consumption=能源消耗 | household consumption=家庭消费"
812,"The purchasing department negotiated a lower price.","采购部门谈成了更低的价格。","purchasing department=采购部门 | purchasing power=购买力"
813,"A shortage of parts delayed production.","零件短缺导致生产延误。","labor shortage=劳动力短缺 | supply shortage=供应短缺"
814,"Scarcity of raw materials pushed prices higher.","原材料稀缺推高了价格。","resource scarcity=资源稀缺 | scarcity of=…短缺"
815,"The regulator is investigating a possible monopoly.","监管机构正在调查可能的垄断行为。","market monopoly=市场垄断 | monopoly power=垄断力量"
816,"The financial regulator introduced new reporting rules.","金融监管机构出台了新的报告规定。","financial regulator=金融监管机构 | government regulator=政府监管机构"
817,"The government provides a subsidy for renewable energy.","政府为可再生能源提供补贴。","government subsidy=政府补贴 | receive a subsidy=获得补贴"
818,"The new tariff increased the cost of imported goods.","新关税提高了进口商品成本。","import tariff=进口关税 | tariff rate=关税税率"
819,"The company reached its monthly sales quota.","公司完成了月度销售配额。","sales quota=销售配额 | import quota=进口配额"
820,"Domestic sales grew faster than exports.","国内销售增长快于出口。","domestic market=国内市场 | domestic demand=国内需求"
821,"The company plans to expand its overseas operations.","公司计划扩大海外业务。","overseas market=海外市场 | overseas office=海外办事处"
822,"The company is investing in emerging markets.","公司正在投资新兴市场。","emerging market=新兴市场 | emerging technology=新兴技术"
823,"The market may become saturated within a few years.","该市场可能在几年内趋于饱和。","saturate the market=使市场饱和 | saturated market=饱和市场"
824,"The company is trying to increase market penetration.","公司正努力提高市场渗透率。","market penetration=市场渗透率 | penetration rate=渗透率"
825,"The economic outlook remains positive.","经济前景仍然乐观。","economic outlook=经济前景 | market outlook=市场展望"
826,"The company wants to avoid costly litigation.","公司希望避免代价高昂的诉讼。","civil litigation=民事诉讼 | litigation costs=诉讼费用"
827,"The contract requires disputes to be settled by arbitration.","合同要求通过仲裁解决争议。","binding arbitration=有约束力的仲裁 | arbitration clause=仲裁条款"
828,"The two companies are trying to resolve the dispute.","两家公司正在努力解决争议。","contract dispute=合同争议 | resolve a dispute=解决争议"
829,"The parties reached an out-of-court settlement.","双方达成了庭外和解。","settlement agreement=和解协议 | reach a settlement=达成和解"
830,"Late payment may result in a penalty.","逾期付款可能导致罚金。","late-payment penalty=逾期罚金 | impose a penalty=处以罚款"
831,"The company was fined for violating safety rules.","公司因违反安全规定被罚款。","pay a fine=缴纳罚款 | impose a fine=处以罚款"
832,"Failure to deliver may constitute a breach of contract.","未能交付可能构成违约。","breach of contract=违反合同 | data breach=数据泄露"
833,"The bank has strict procedures to prevent fraud.","银行有严格流程防止欺诈。","credit card fraud=信用卡欺诈 | prevent fraud=防止欺诈"
834,"The company denied allegations of negligence.","公司否认了疏忽指控。","professional negligence=职业疏忽 | gross negligence=重大过失"
835,"The employee was dismissed for serious misconduct.","该员工因严重不当行为被解雇。","employee misconduct=员工不当行为 | serious misconduct=严重失当"
836,"The report requires full disclosure of related transactions.","报告要求全面披露关联交易。","full disclosure=全面披露 | financial disclosure=财务披露"
837,"The customer gave written consent to the data use.","客户书面同意使用其数据。","written consent=书面同意 | obtain consent=取得同意"
838,"The participant signed a liability waiver.","参加者签署了责任豁免声明。","liability waiver=责任豁免 | sign a waiver=签署弃权声明"
839,"The contract includes an indemnity clause.","合同包含赔偿保障条款。","indemnity clause=赔偿条款 | provide indemnity=提供赔偿保障"
840,"The company filed a claim for patent infringement.","公司就专利侵权提起诉讼。","patent infringement=专利侵权 | copyright infringement=版权侵权"
841,"The company applied for a patent on the new technology.","公司为新技术申请了专利。","file a patent=申请专利 | patent application=专利申请"
842,"The brand name is protected by a registered trademark.","该品牌名称受注册商标保护。","registered trademark=注册商标 | trademark protection=商标保护"
843,"The photographs are protected by copyright.","这些照片受版权保护。","copyright law=版权法 | copyright protection=版权保护"
844,"The software contains proprietary technology.","该软件包含专有技术。","proprietary information=专有信息 | proprietary software=专有软件"
845,"Employees are entitled to statutory leave.","员工依法享有法定休假。","statutory requirement=法定要求 | statutory leave=法定休假"
846,"Safety training is mandatory for all new employees.","安全培训对所有新员工都是强制性的。","mandatory training=强制培训 | mandatory requirement=强制要求"
847,"The policy prohibits employees from sharing passwords.","政策禁止员工共享密码。","prohibit access=禁止进入 | prohibit someone from doing=禁止某人做"
848,"Small businesses may be exempt from the fee.","小企业可能免缴该费用。","tax exempt=免税的 | exempt from=免除"
849,"The supplier may be liable for the damaged goods.","供应商可能要对损坏商品承担法律责任。","liable for=对…负有责任 | legally liable=承担法律责任"
850,"The regulator will enforce the new rules from January.","监管机构将从一月起执行新规定。","enforce a law=执行法律 | enforce a rule=执行规定"
