id,word,phonetic,partOfSpeech,meaning,level,topic
354,record,/rəˈkɔrd/,n./v.,记录,400,Documents & Forms
355,note,/ˈnoʊt/,n./v.,笔记；注意,400,Documents & Forms
356,make,/ˈmeɪk/,v.,制作；使得,400,General Actions
357,take,/ˈteɪk/,v.,拿；花费,400,General Actions
358,give,/ˈɡɪv/,v.,给予,400,General Actions
359,get,/ˈɡɛt/,v.,获得；变得,400,General Actions
360,find,/ˈfaɪnd/,v.,找到；发现,400,General Actions
361,look,/ˈlʊk/,n./v.,看；外观,400,General Actions
362,see,/ˈsi/,v.,看见；明白,400,General Actions
363,show,/ˈʃoʊ/,n./v.,展示；表明,400,General Actions
364,keep,/ˈkip/,v.,保持；保留,400,General Actions
365,put,/ˈpʊt/,v.,放置,400,General Actions
366,bring,/ˈbrɪŋ/,v.,带来,400,General Actions
367,move,/ˈmuv/,n./v.,移动；搬迁,400,General Actions
368,wait,/ˈweɪt/,n./v.,等待,400,General Actions
369,follow,/ˈfɑloʊ/,v.,遵循；跟随,400,General Actions
370,remember,/rɪˈmɛmbɚ/,v.,记得,400,General Actions
371,understand,/ʌndɚˈstænd/,v.,理解,400,General Actions
372,know,/ˈnoʊ/,v.,知道；了解,400,General Actions
373,learn,/ˈlɝn/,v.,学习,400,General Actions
374,decide,/dɪˈsaɪd/,v.,决定,400,General Actions
375,agree,/əˈɡri/,v.,同意,400,General Actions
376,accept,/æˈksɛpt/,v.,接受,400,General Actions
377,add,/ˈæd/,v.,添加；增加,400,General Actions
378,allow,/əˈlaʊ/,v.,允许,400,General Actions
379,arrange,/ɚˈeɪndʒ/,v.,安排；整理,400,Time & Planning
380,become,/bɪˈkʌm/,v.,成为,400,General Actions
381,begin,/bɪˈɡɪn/,v.,开始,400,General Actions
382,believe,/bɪˈliv/,v.,相信,400,General Actions
383,carry,/ˈkæri/,v.,携带；搬运,400,Shipping & Delivery
384,collect,/kəˈlɛkt/,v.,收集；领取,400,General Actions
385,continue,/kəˈntɪnju/,v.,继续,400,General Actions
386,correct,/kɚˈɛkt/,adj./v.,正确的；纠正,400,Documents & Forms
387,cover,/ˈkʌvɚ/,n./v.,覆盖；封面,400,Documents & Forms
388,cut,/ˈkʌt/,n./v.,切；削减,400,Company Operations
389,different,/ˈdɪfɚənt/,adj.,不同的,400,General Actions
390,easy,/ˈizi/,adj.,容易的,400,General Actions
391,enjoy,/ɛˈndʒɔɪ/,v.,享受；喜欢,400,General Actions
392,enough,/ɪˈnʌf/,adj./adv.,足够的；充分地,400,General Actions
393,expect,/ɪˈkspɛkt/,v.,期待；预计,400,General Actions
394,important,/ɪˈmpɔrtənt/,adj.,重要的,400,General Actions
395,include,/ɪˈnklud/,v.,包括,400,Documents & Forms
396,last,/ˈlæst/,adj./v.,最后的；持续,400,Time & Planning
397,main,/ˈmeɪn/,adj.,主要的,400,General Actions
398,new,/ˈnu/,adj.,新的,400,General Actions
399,next,/ˈnɛkst/,adj./adv.,下一个；接下来,400,Time & Planning
400,old,/ˈoʊld/,adj.,旧的；年长的,400,General Actions
