id,word,phonetic,partOfSpeech,meaning,level,topic
917,outsource,/ˈaʊtsɔːrs/,v.,外包,700,Technology & Data
918,provider,/prəˈvaɪdər/,n.,服务提供商,700,Technology & Data
919,licensing,/ˈlaɪsənsɪŋ/,n.,许可授权,700,Technology & Data
920,licensee,/ˌlaɪsənˈsiː/,n.,被许可方,700,Technology & Data
921,diagnostic,/ˌdaɪəɡˈnɑːstɪk/,adj./n.,诊断的；诊断测试,700,Technology & Data
922,compatibility,/kəmˌpætəˈbɪləti/,n.,兼容性,700,Technology & Data
923,functionality,/ˌfʌŋkʃəˈnæləti/,n.,功能性,700,Technology & Data
924,specify,/ˈspesəfaɪ/,v.,明确说明,700,Technology & Data
925,customize,/ˈkʌstəmaɪz/,v.,定制,700,Technology & Data
926,positioning,/pəˈzɪʃənɪŋ/,n.,市场定位,700,Marketing & Communication
927,demographic,/ˌdeməˈɡræfɪk/,n./adj.,人口统计群体；人口统计的,700,Marketing & Communication
928,persona,/pərˈsoʊnə/,n.,用户画像；角色,700,Marketing & Communication
929,campaigner,/kæmˈpeɪnər/,n.,活动组织者,700,Marketing & Communication
930,slogan,/ˈsloʊɡən/,n.,口号,700,Marketing & Communication
931,headline,/ˈhedlaɪn/,n.,标题,700,Marketing & Communication
932,circulation,/ˌsɝːkjəˈleɪʃən/,n.,发行量；流通,700,Marketing & Communication
933,readership,/ˈriːdərʃɪp/,n.,读者群,700,Marketing & Communication
934,broadcast,/ˈbrɔːdkæst/,n./v.,广播；播送,700,Marketing & Communication
935,sponsor,/ˈspɑːnsər/,n./v.,赞助商；赞助,700,Marketing & Communication
936,sponsorship,/ˈspɑːnsərʃɪp/,n.,赞助,700,Marketing & Communication
937,engagement,/ɪnˈɡeɪdʒmənt/,n.,参与度；约定,700,Marketing & Communication
938,conversion,/kənˈvɝːʒən/,n.,转化；转换,700,Marketing & Communication
939,visibility,/ˌvɪzəˈbɪləti/,n.,可见度；曝光度,700,Marketing & Communication
940,reputation,/ˌrepjəˈteɪʃən/,n.,声誉,700,Marketing & Communication
941,perception,/pərˈsepʃən/,n.,看法；认知,700,Marketing & Communication
942,awareness,/əˈwernəs/,n.,知名度；意识,700,Marketing & Communication
943,persuade,/pərˈsweɪd/,v.,说服,700,Marketing & Communication
944,convince,/kənˈvɪns/,v.,使信服,700,Marketing & Communication
945,promotional,/prəˈmoʊʃənəl/,adj.,促销的,700,Marketing & Communication
946,complimentary,/ˌkɑːmpləˈmentəri/,adj.,免费的；赞美的,700,Marketing & Communication
947,exclusive,/ɪkˈskluːsɪv/,adj.,独家的；专属的,700,Marketing & Communication
948,influential,/ˌɪnfluˈenʃəl/,adj.,有影响力的,700,Marketing & Communication
949,viral,/ˈvaɪrəl/,adj.,病毒式传播的,700,Marketing & Communication
950,testimonial,/ˌtestəˈmoʊniəl/,n.,用户评价；证明书,700,Marketing & Communication
